temp,temp_min,temp_max,temp_1,temp_2,temp_3,temp_min_1,temp_min_2,temp_min_3,temp_max_1,temp_max_2,temp_max_3,feels_like_1,feels_like_2,feels_like_3,pressure_1,pressure_2,pressure_3,humidity_1,humidity_2,humidity_3,date
310.07,310.07,310.07,313.37,312.8,313.54,313.37,312.8,313.54,313.37,312.8,313.54,310.54,309.76,309.59,1004,1003,1005,15,18,13,01-05-2020
308.49,308.49,308.49,310.07,313.37,312.8,310.07,313.37,312.8,310.07,313.37,312.8,309.23,310.54,309.76,1007,1004,1003,22,15,18,02-05-2020
311.97,311.97,311.97,308.49,310.07,313.37,308.49,310.07,313.37,308.49,310.07,313.37,306.56,309.23,310.54,1007,1007,1004,21,22,15,03-05-2020
309.17,309.17,309.17,311.97,308.49,310.07,311.97,308.49,310.07,311.97,308.49,310.07,309.93,306.56,309.23,1004,1007,1007,13,21,22,04-05-2020
311.64,311.64,311.64,309.17,311.97,308.49,309.17,311.97,308.49,309.17,311.97,308.49,308.47,309.93,306.56,1007,1004,1007,18,13,21,05-05-2020
313.93,313.93,313.93,311.64,309.17,311.97,311.64,309.17,311.97,311.64,309.17,311.97,308.43,308.47,309.93,1005,1007,1004,13,18,13,06-05-2020
314.21,314.21,314.21,313.93,311.64,309.17,313.93,311.64,309.17,313.93,311.64,309.17,311.03,308.43,308.47,1005,1005,1007,12,13,18,07-05-2020
313.41,313.41,313.41,314.21,313.93,311.64,314.21,313.93,311.64,314.21,313.93,311.64,312.58,311.03,308.43,1005,1005,1005,13,12,13,08-05-2020
309.56,309.56,309.56,313.41,314.21,313.93,313.41,314.21,313.93,313.41,314.21,313.93,311.05,312.58,311.03,1006,1005,1005,13,13,12,09-05-2020
308.11,308.11,308.11,309.56,313.41,314.21,309.56,313.41,314.21,309.56,313.41,314.21,308.25,311.05,312.58,1007,1006,1005,22,13,13,10-05-2020
312.27,312.27,312.27,308.11,309.56,313.41,308.11,309.56,313.41,308.11,309.56,313.41,306.7,308.25,311.05,1006,1007,1006,23,22,13,11-05-2020
312.19,312.19,312.19,312.27,308.11,309.56,312.27,308.11,309.56,312.27,308.11,309.56,311.26,306.7,308.25,1005,1006,1007,18,23,22,12-05-2020
312.87,312.87,312.87,312.19,312.27,308.11,312.19,312.27,308.11,312.19,312.27,308.11,306.84,311.26,306.7,1004,1005,1006,13,18,23,13-05-2020
314.15,314.15,314.15,312.87,312.19,312.27,312.87,312.19,312.27,312.87,312.19,312.27,307.46,306.84,311.26,1004,1004,1005,10,13,18,14-05-2020
313.92,313.92,313.92,314.15,312.87,312.19,314.15,312.87,312.19,314.15,312.87,312.19,308.94,307.46,306.84,1002,1004,1004,8,10,13,15-05-2020
313.95,313.95,313.95,313.92,314.15,312.87,313.92,314.15,312.87,313.92,314.15,312.87,309.29,308.94,307.46,1000,1002,1004,6,8,10,16-05-2020
313.74,313.74,313.74,313.95,313.92,314.15,313.95,313.92,314.15,313.95,313.92,314.15,308.64,309.29,308.94,1000,1000,1002,7,6,8,17-05-2020
315.82,315.82,315.82,313.74,313.95,313.92,313.74,313.95,313.92,313.74,313.95,313.92,307.75,308.64,309.29,999,1000,1000,7,7,6,18-05-2020
317.18,317.18,317.18,315.82,313.74,313.95,315.82,313.74,313.95,315.82,313.74,313.95,308,307.75,308.64,998,999,1000,6,7,7,19-05-2020
318.11,318.11,318.11,317.18,315.82,313.74,317.18,315.82,313.74,317.18,315.82,313.74,312.39,308,307.75,998,998,999,6,6,7,20-05-2020
318.47,318.47,318.47,318.11,317.18,315.82,318.11,317.18,315.82,318.11,317.18,315.82,313.06,312.39,308,1000,998,998,7,6,6,21-05-2020
318.51,318.51,318.51,318.47,318.11,317.18,318.47,318.11,317.18,318.47,318.11,317.18,312.58,313.06,312.39,1000,1000,998,6,7,6,22-05-2020
319.63,319.63,319.63,318.51,318.47,318.11,318.51,318.47,318.11,318.51,318.47,318.11,311.5,312.58,313.06,1000,1000,1000,7,6,7,23-05-2020
318.65,318.65,318.65,319.63,318.51,318.47,319.63,318.51,318.47,319.63,318.51,318.47,313.21,311.5,312.58,998,1000,1000,5,7,6,24-05-2020
316.11,316.11,316.11,318.65,319.63,318.51,318.65,319.63,318.51,318.65,319.63,318.51,313.7,313.21,311.5,996,998,1000,5,5,7,25-05-2020
314.19,314.19,314.19,316.11,318.65,319.63,316.11,318.65,319.63,316.11,318.65,319.63,313.77,313.7,313.21,997,996,998,14,5,5,26-05-2020
309.27,309.27,309.27,314.19,316.11,318.65,314.19,316.11,318.65,314.19,316.11,318.65,311.62,313.77,313.7,1001,997,996,21,14,5,27-05-2020
307.01,307.01,307.01,309.27,314.19,316.11,309.27,314.19,316.11,309.27,314.19,316.11,307.22,311.62,313.77,1006,1001,997,24,21,14,28-05-2020
307.99,307.99,307.99,307.01,309.27,314.19,307.01,309.27,314.19,307.01,309.27,314.19,306.74,307.22,311.62,1006,1006,1001,32,24,21,29-05-2020
310.07,310.07,310.07,307.99,307.01,309.27,307.99,307.01,309.27,307.99,307.01,309.27,307.3,306.74,307.22,1007,1006,1006,28,32,24,30-05-2020
311.63,311.63,311.63,310.07,307.99,307.01,310.07,307.99,307.01,310.07,307.99,307.01,308.15,307.3,306.74,1005,1007,1006,22,28,32,31-05-2020
312.71,312.71,312.71,311.63,310.07,307.99,311.63,310.07,307.99,311.63,310.07,307.99,310.01,308.15,307.3,1003,1005,1007,17,22,28,01-06-2020
304.47,304.47,304.47,312.71,311.63,310.07,312.71,311.63,310.07,312.71,311.63,310.07,311.34,310.01,308.15,1000,1003,1005,16,17,22,02-06-2020
310.45,310.45,310.45,304.47,312.71,311.63,304.47,312.71,311.63,304.47,312.71,311.63,304.84,311.34,310.01,1003,1000,1003,40,16,17,03-06-2020
311.67,311.67,311.67,310.45,304.47,312.71,310.45,304.47,312.71,310.45,304.47,312.71,311.65,304.84,311.34,1001,1003,1000,25,40,16,04-06-2020
312.49,312.49,312.49,311.67,310.45,304.47,311.67,310.45,304.47,311.67,310.45,304.47,311.32,311.65,304.84,1001,1001,1003,22,25,40,05-06-2020
315.02,315.02,315.02,312.49,311.67,310.45,312.49,311.67,310.45,312.49,311.67,310.45,310.53,311.32,311.65,1000,1001,1001,18,22,25,06-06-2020
316.08,316.08,316.08,315.02,312.49,311.67,315.02,312.49,311.67,315.02,312.49,311.67,312.24,310.53,311.32,1000,1000,1001,14,18,22,07-06-2020
316.58,316.58,316.58,316.08,315.02,312.49,316.08,315.02,312.49,316.08,315.02,312.49,313.51,312.24,310.53,999,1000,1000,14,14,18,08-06-2020
316.35,316.35,316.35,316.58,316.08,315.02,316.58,316.08,315.02,316.58,316.08,315.02,314.11,313.51,312.24,997,999,1000,12,14,14,09-06-2020
316.67,316.67,316.67,316.35,316.58,316.08,316.35,316.58,316.08,316.35,316.58,316.08,314.31,314.11,313.51,996,997,999,12,12,14,10-06-2020
316.43,316.43,316.43,316.67,316.35,316.58,316.67,316.35,316.58,316.67,316.35,316.58,313.54,314.31,314.11,996,996,997,11,12,12,11-06-2020
317.59,317.59,317.59,316.43,316.67,316.35,316.43,316.67,316.35,316.43,316.67,316.35,313.07,313.54,314.31,997,996,996,11,11,12,12-06-2020
317.19,317.19,317.19,317.59,316.43,316.67,317.59,316.43,316.67,317.59,316.43,316.67,311.79,313.07,313.54,996,997,996,8,11,11,13-06-2020
316.75,316.75,316.75,317.19,317.59,316.43,317.19,317.59,316.43,317.19,317.59,316.43,312.99,311.79,313.07,994,996,997,8,8,11,14-06-2020
318.39,318.39,318.39,316.75,317.19,317.59,316.75,317.19,317.59,316.75,317.19,317.59,312.67,312.99,311.79,992,994,996,8,8,8,15-06-2020
317.75,317.75,317.75,318.39,316.75,317.19,318.39,316.75,317.19,318.39,316.75,317.19,313.67,312.67,312.99,993,992,994,9,8,8,16-06-2020
317.35,317.35,317.35,317.75,318.39,316.75,317.75,318.39,316.75,317.75,318.39,316.75,314.6,313.67,312.67,995,993,992,13,9,8,17-06-2020
316.51,316.51,316.51,317.35,317.75,318.39,317.35,317.75,318.39,317.35,317.75,318.39,314.39,314.6,313.67,996,995,993,14,13,9,18-06-2020
314.9,314.9,314.9,316.51,317.35,317.75,316.51,317.35,317.75,316.51,317.35,317.75,314.35,314.39,314.6,996,996,995,16,14,13,19-06-2020
315.27,315.27,315.27,314.9,316.51,317.35,314.9,316.51,317.35,314.9,316.51,317.35,313.4,314.35,314.39,996,996,996,19,16,14,20-06-2020
313.88,313.88,313.88,315.27,314.9,316.51,315.27,314.9,316.51,315.27,314.9,316.51,315.45,313.4,314.35,1000,996,996,22,19,16,21-06-2020
315.23,315.23,315.23,313.88,315.27,314.9,313.88,315.27,314.9,313.88,315.27,314.9,313.94,315.45,313.4,1000,1000,996,26,22,19,22-06-2020
314.27,314.27,314.27,315.23,313.88,315.27,315.23,313.88,315.27,315.23,313.88,315.27,314.2,313.94,315.45,997,1000,1000,21,26,22,23-06-2020
317.19,317.19,317.19,314.27,315.23,313.88,314.27,315.23,313.88,314.27,315.23,313.88,312.97,314.2,313.94,997,997,1000,23,21,26,24-06-2020
316.18,316.18,316.18,317.19,314.27,315.23,317.19,314.27,315.23,317.19,314.27,315.23,314.43,312.97,314.2,997,997,997,19,23,21,25-06-2020
314.71,314.71,314.71,316.18,317.19,314.27,316.18,317.19,314.27,316.18,317.19,314.27,314.41,314.43,312.97,995,997,997,22,19,23,26-06-2020
315.72,315.72,315.72,314.71,316.18,317.19,314.71,316.18,317.19,314.71,316.18,317.19,314.62,314.41,314.43,998,995,997,23,22,19,27-06-2020
316.37,316.37,316.37,315.72,314.71,316.18,315.72,314.71,316.18,315.72,314.71,316.18,314.45,314.62,314.41,999,998,995,19,23,22,28-06-2020
317.52,317.52,317.52,316.37,315.72,314.71,316.37,315.72,314.71,316.37,315.72,314.71,315.45,314.45,314.62,997,999,998,19,19,23,29-06-2020
317.02,317.02,317.02,317.52,316.37,315.72,317.52,316.37,315.72,317.52,316.37,315.72,315.46,315.45,314.45,994,997,999,16,19,19,30-06-2020
317.47,317.47,317.47,317.02,317.52,316.37,317.02,317.52,316.37,317.02,317.52,316.37,317.05,315.46,315.45,994,994,997,17,16,19,01-07-2020
313.99,313.99,313.99,317.47,317.02,317.52,317.47,317.02,317.52,317.47,317.02,317.52,316.39,317.05,315.46,994,994,994,16,17,16,02-07-2020
314.7,314.7,314.7,313.99,317.47,317.02,313.99,317.47,317.02,313.99,317.47,317.02,314.27,316.39,317.05,996,994,994,24,16,17,03-07-2020
305.47,305.47,305.47,314.7,313.99,317.47,314.7,313.99,317.47,314.7,313.99,317.47,314.82,314.27,316.39,995,996,994,21,24,16,04-07-2020
310.29,310.29,310.29,305.47,314.7,313.99,305.47,314.7,313.99,305.47,314.7,313.99,303.61,314.82,314.27,1002,995,996,51,21,24,05-07-2020
311.39,311.39,311.39,310.29,305.47,314.7,310.29,305.47,314.7,310.29,305.47,314.7,310.91,303.61,314.82,1001,1002,995,39,51,21,06-07-2020
315.64,315.64,315.64,311.39,310.29,305.47,311.39,310.29,305.47,311.39,310.29,305.47,313.81,310.91,303.61,995,1001,1002,36,39,51,07-07-2020
313.23,313.23,313.23,315.64,311.39,310.29,315.64,311.39,310.29,315.64,311.39,310.29,314.8,313.81,310.91,994,995,1001,22,36,39,08-07-2020
310.48,310.48,310.48,313.23,315.64,311.39,313.23,315.64,311.39,313.23,315.64,311.39,313.77,314.8,313.81,995,994,995,31,22,36,09-07-2020
312.45,312.45,312.45,310.48,313.23,315.64,310.48,313.23,315.64,310.48,313.23,315.64,311.79,313.77,314.8,998,995,994,32,31,22,10-07-2020
314.8,314.8,314.8,312.45,310.48,313.23,312.45,310.48,313.23,312.45,310.48,313.23,313.11,311.79,313.77,996,998,995,30,32,31,11-07-2020
312.91,312.91,312.91,314.8,312.45,310.48,314.8,312.45,310.48,314.8,312.45,310.48,313.73,313.11,311.79,997,996,998,22,30,32,12-07-2020
313.8,313.8,313.8,312.91,314.8,312.45,312.91,314.8,312.45,312.91,314.8,312.45,314.05,313.73,313.11,998,997,996,28,22,30,13-07-2020
312.56,312.56,312.56,313.8,312.91,314.8,313.8,312.91,314.8,313.8,312.91,314.8,316.12,314.05,313.73,997,998,997,30,28,22,14-07-2020
313.85,313.85,313.85,312.56,313.8,312.91,312.56,313.8,312.91,312.56,313.8,312.91,314.32,316.12,314.05,998,997,998,34,30,28,15-07-2020
312.07,312.07,312.07,313.85,312.56,313.8,313.85,312.56,313.8,313.85,312.56,313.8,317.62,314.32,316.12,999,998,997,32,34,30,16-07-2020
305.63,305.63,305.63,312.07,313.85,312.56,312.07,313.85,312.56,312.07,313.85,312.56,314.41,317.62,314.32,997,999,998,36,32,34,17-07-2020
300.18,300.18,300.18,305.63,312.07,313.85,305.63,312.07,313.85,305.63,312.07,313.85,305.57,314.41,317.62,996,997,999,53,36,32,18-07-2020
304.75,304.75,304.75,300.18,305.63,312.07,300.18,305.63,312.07,300.18,305.63,312.07,303.03,305.57,314.41,1002,996,997,75,53,36,19-07-2020
309.81,309.81,309.81,304.75,300.18,305.63,304.75,300.18,305.63,304.75,300.18,305.63,307.24,303.03,305.57,1001,1002,996,58,75,53,20-07-2020
309.97,309.97,309.97,309.81,304.75,300.18,309.81,304.75,300.18,309.81,304.75,300.18,310.57,307.24,303.03,1000,1001,1002,33,58,75,21-07-2020
310.07,310.07,310.07,309.97,309.81,304.75,309.97,309.81,304.75,309.97,309.81,304.75,310.03,310.57,307.24,1004,1000,1001,34,33,58,22-07-2020
309.59,309.59,309.59,310.07,309.97,309.81,310.07,309.97,309.81,310.07,309.97,309.81,311.47,310.03,310.57,1004,1004,1000,39,34,33,23-07-2020
311.99,311.99,311.99,309.59,310.07,309.97,309.59,310.07,309.97,309.59,310.07,309.97,312.82,311.47,310.03,1004,1004,1004,40,39,34,24-07-2020
312.87,312.87,312.87,311.99,309.59,310.07,311.99,309.59,310.07,311.99,309.59,310.07,313.22,312.82,311.47,1001,1004,1004,35,40,39,25-07-2020
312.57,312.57,312.57,312.87,311.99,309.59,312.87,311.99,309.59,312.87,311.99,309.59,313.45,313.22,312.82,999,1001,1004,33,35,40,26-07-2020
309.73,309.73,309.73,312.57,312.87,311.99,312.57,312.87,311.99,312.57,312.87,311.99,315.99,313.45,313.22,999,999,1001,34,33,35,27-07-2020
311.09,311.09,311.09,309.73,312.57,312.87,309.73,312.57,312.87,309.73,312.57,312.87,313.08,315.99,313.45,1002,999,999,43,34,33,28-07-2020
310.79,310.79,310.79,311.09,309.73,312.57,311.09,309.73,312.57,311.09,309.73,312.57,314.27,313.08,315.99,1000,1002,999,40,43,34,29-07-2020
311.53,311.53,311.53,310.79,311.09,309.73,310.79,311.09,309.73,310.79,311.09,309.73,314.43,314.27,313.08,1000,1000,1002,41,40,43,30-07-2020
313.25,313.25,313.25,311.53,310.79,311.09,311.53,310.79,311.09,311.53,310.79,311.09,313.01,314.43,314.27,998,1000,1000,37,41,40,31-07-2020
313.55,313.55,313.55,313.25,311.53,310.79,313.25,311.53,310.79,313.25,311.53,310.79,314.44,313.01,314.43,994,998,1000,36,37,41,01-08-2020
312.46,312.46,312.46,313.55,313.25,311.53,313.55,313.25,311.53,313.55,313.25,311.53,314.61,314.44,313.01,992,994,998,31,36,37,02-08-2020
311.43,311.43,311.43,312.46,313.55,313.25,312.46,313.55,313.25,312.46,313.55,313.25,313.4,314.61,314.44,994,992,994,39,31,36,03-08-2020
311.05,311.05,311.05,311.43,312.46,313.55,311.43,312.46,313.55,311.43,312.46,313.55,310.69,313.4,314.61,998,994,992,40,39,31,04-08-2020
311.62,311.62,311.62,311.05,311.43,312.46,311.05,311.43,312.46,311.05,311.43,312.46,311.93,310.69,313.4,1000,998,994,41,40,39,05-08-2020
311.33,311.33,311.33,311.62,311.05,311.43,311.62,311.05,311.43,311.62,311.05,311.43,315.74,311.93,310.69,998,1000,998,38,41,40,06-08-2020
309.6,309.6,309.6,311.33,311.62,311.05,311.33,311.62,311.05,311.33,311.62,311.05,315.18,315.74,311.93,997,998,1000,42,38,41,07-08-2020
308.68,308.68,308.68,309.6,311.33,311.62,309.6,311.33,311.62,309.6,311.33,311.62,314.11,315.18,315.74,999,997,998,49,42,38,08-08-2020
310.17,310.17,310.17,308.68,309.6,311.33,308.68,309.6,311.33,308.68,309.6,311.33,313.2,314.11,315.18,998,999,997,52,49,42,09-08-2020
307.27,307.27,307.27,310.17,308.68,309.6,310.17,308.68,309.6,310.17,308.68,309.6,313.46,313.2,314.11,997,998,999,46,52,49,10-08-2020
306.59,306.59,306.59,307.27,310.17,308.68,307.27,310.17,308.68,307.27,310.17,308.68,312.22,313.46,313.2,997,997,998,59,46,52,11-08-2020
308.93,308.93,308.93,306.59,307.27,310.17,306.59,307.27,310.17,306.59,307.27,310.17,309.23,312.22,313.46,996,997,997,62,59,46,12-08-2020
308.97,308.97,308.97,308.93,306.59,307.27,308.93,306.59,307.27,308.93,306.59,307.27,311.66,309.23,312.22,996,996,997,51,62,59,13-08-2020
308.63,308.63,308.63,308.97,308.93,306.59,308.97,308.93,306.59,308.97,308.93,306.59,312.21,311.66,309.23,997,996,996,51,51,62,14-08-2020
309.34,309.34,309.34,308.63,308.97,308.93,308.63,308.97,308.93,308.63,308.97,308.93,312.86,312.21,311.66,997,997,996,55,51,51,15-08-2020
305.17,305.17,305.17,309.34,308.63,308.97,309.34,308.63,308.97,309.34,308.63,308.97,313.84,312.86,312.21,997,997,997,49,55,51,16-08-2020
306.07,306.07,306.07,305.17,309.34,308.63,305.17,309.34,308.63,305.17,309.34,308.63,310.37,313.84,312.86,997,997,997,72,49,55,17-08-2020
306.43,306.43,306.43,306.07,305.17,309.34,306.07,305.17,309.34,306.07,305.17,309.34,308.68,310.37,313.84,1001,997,997,57,72,49,18-08-2020
306.83,306.83,306.83,306.43,306.07,305.17,306.43,306.07,305.17,306.43,306.07,305.17,308.14,308.68,310.37,1004,1001,997,57,57,72,19-08-2020
306.88,306.88,306.88,306.83,306.43,306.07,306.83,306.43,306.07,306.83,306.43,306.07,308.8,308.14,308.68,1002,1004,1001,55,57,57,20-08-2020
307.07,307.07,307.07,306.88,306.83,306.43,306.88,306.83,306.43,306.88,306.83,306.43,308.38,308.8,308.14,1001,1002,1004,55,55,57,21-08-2020
307.48,307.48,307.48,307.07,306.88,306.83,307.07,306.88,306.83,307.07,306.88,306.83,309.49,308.38,308.8,1000,1001,1002,57,55,55,22-08-2020
